,AverageTemperature,rolling_mean,rolling_std
2005-06-01,24.595,21.129416666666668,4.715487161921063
2005-07-01,27.064,21.12175,4.7048609123485665
2005-08-01,27.88,21.169999999999998,4.776417010118085
2005-09-01,26.702,21.237083333333334,4.853866752082266
2005-10-01,23.157,21.15675,4.809572937476781
2005-11-01,19.399,21.035166666666665,4.836179499513545
2005-12-01,16.715999999999998,21.082333333333334,4.7867108147706565
2006-01-01,14.380999999999998,21.03166666666667,4.859732097616698
2006-02-01,15.274,21.08641666666667,4.784005196453795
2006-03-01,17.107,21.085083333333333,4.785212324696177
2006-04-01,19.486,21.133583333333334,4.763998921042796
2006-05-01,21.543000000000003,21.108666666666668,4.760737726127081
2006-06-01,25.403,21.176,4.819875837706719
2006-07-01,26.799,21.153916666666667,4.790966565192021
2006-08-01,28.105,21.172666666666668,4.820034992957342
2006-09-01,26.655,21.16875,4.815150127462274
2006-10-01,23.752,21.218333333333334,4.840481931929225
2006-11-01,19.154,21.197916666666668,4.8493618597677
2006-12-01,16.119,21.148166666666665,4.902295674353785
2007-01-01,14.677,21.172833333333333,4.865758687610859
2007-02-01,15.367,21.180583333333335,4.855572514850298
2007-03-01,17.135,21.182916666666667,4.853443266164625
2007-04-01,18.729000000000006,21.119833333333336,4.882337868337872
2007-05-01,22.624,21.20991666666667,4.9007932652569455
2007-06-01,25.751,21.238916666666668,4.928810652375444
2007-07-01,27.719,21.315583333333333,5.029290017818945
2007-08-01,28.092,21.3145,5.027695740052834
2007-09-01,26.472,21.29925,5.010271669734627
2007-10-01,24.387,21.352166666666665,5.041785935979668
2007-11-01,20.753,21.485416666666666,4.999360476525211
2007-12-01,16.387,21.50775,4.9737410124664585
2008-01-01,14.02,21.453000000000003,5.0586593624649705
2008-02-01,14.4,21.372416666666666,5.1708788501891325
2008-03-01,19.03,21.530333333333335,5.057396317785613
2008-04-01,20.027,21.638499999999997,5.0056511246608215
